Name,file,start_date,end_date,avg_return,volatility,skewness,kurtosis,mdd,sharpe,n_obs,regime_id,regime_name
FIS,FIS_data.csv,42738,43098,0.2023117721483776,0.1251251586545147,-0.6004505738656185,7.289261869664595,0.06365141792589535,1.616875249740816,250,2,High-Alpha
FISV,FISV_data.csv,42738,43098,0.2017893334410038,0.1219186487261601,-1.038540616382865,7.856177836059641,0.06892550475748438,1.65511458295638,250,2,High-Alpha
FITB,FITB_data.csv,42738,43098,0.1156982083769204,0.2125641660749323,-0.2355303146510773,4.779948317543568,0.1784347826086956,0.54429780199234,250,1,Stable
FL,FL_data.csv,42738,43098,-0.4287204682685415,0.5468911327772432,-2.334504276980442,46.67857404651571,0.621978021978022,-0.7839228734453912,250,0,Downtrend
FLIR,FLIR_data.csv,42738,43098,0.2580619254725365,0.1980679109605647,1.060097623794098,12.88344946988855,0.1242937853107344,1.30289618455115,250,2,High-Alpha
FLR,FLR_data.csv,42738,43098,-0.02657853634805885,0.3935273366474697,0.1373958185007415,58.76019820917449,0.3599793708096958,-0.06753923774263357,250,0,Downtrend
FLS,FLS_data.csv,42738,43098,-0.1524743971939754,0.2743786785337273,-2.473070634002094,17.48405939816408,0.2752169720347156,-0.5557078924965841,250,1,Stable
FMC,FMC_data.csv,42738,43098,0.5107677919441296,0.2476016713744057,1.929262798663008,19.8624168445564,0.0856180856180856,2.062860840594984,250,2,High-Alpha
FOX,FOX_data.csv,42738,43098,0.1992606461478603,0.244371073772741,0.9206394223901444,7.887737688161736,0.2322438717787555,0.8154019339177915,250,1,Stable
FOXA,FOXA_data.csv,42738,43098,0.1857086453596531,0.2502456793570226,1.088080166642408,9.287080558644305,0.2302712700369913,0.7421053016252273,250,1,Stable
FRT,FRT_data.csv,42738,43098,-0.07733213989538666,0.1706864844731145,0.1090595114824814,4.656267240790594,0.1704866129809347,-0.4530653972638796,250,1,Stable
FTI,FTI_data.csv,42738,43098,-0.1515593280960393,0.2710194118125431,-0.2434227662627122,4.652798884727932,0.3204465014974135,-0.5592194562095386,250,1,Stable
